RideID,RideDate,UserID,City,VehicleType,TripDistanceKM,TripDurationMin,BaseFare,TotalFare,DriverRating,CancellationStatus,PaymentMethod,DriverID,DriverExperienceYears,SurgeApplied,IsPeakHour,RideStartTime,WeatherCondition,DeviceType,PromoCodeUsed,TripCancelledBy
RIDE100000,2023-03-23 01:39:00,USER9856,Hyderabad,Auto,9.99,36.8,117.6,176.34,5,Completed,UPI,DR00583,6.6,1.0,No,01:39,Clear,Android,No,NA
RIDE100001,2023-01-19 05:05:00,USER6421,Pune,Auto,23.82,33.3,52.14,114.24,5,Completed,Cash,DR00268,4.9,1.0,Yes,05:05,Clear,iOS,No,NA
RIDE100002,2023-07-20 06:29:00,USER1369,Bangalore,Auto,18.57,20.0,71.6,138.08,1,Completed,Card,DR00709,9.7,1.0,No,06:29,Rainy,Web,No,NA
RIDE100003,2023-06-28 07:47:00,USER4670,Delhi,Sedan,15.37,56.6,109.59,193.81,5,Completed,Wallet,DR00264,2.6,1.0,Yes,07:47,Clear,iOS,Yes,NA
RIDE100004,2023-06-12 12:53:00,USER5749,Chennai,SUV,4.74,45.5,87.85,108.67,4,Completed,Card,DR00878,6.1,1.0,Yes,12:53,Clear,iOS,Yes,NA
RIDE100005,2023-04-12 14:36:00,USER5118,Delhi,Bike,4.74,78.6,118.63,146.75,1,Completed,Cash,DR00490,7.2,1.0,Yes,14:36,Rainy,Android,Yes,NA
RIDE100006,2023-03-16 15:13:00,USER7396,Pune,Sedan,2.39,7.7,145.34,162.71,5,Completed,UPI,DR00046,8.3,1.0,Yes,15:13,Foggy,iOS,No,NA
RIDE100007,2023-03-05 07:21:00,USER6863,Delhi,Bike,21.79,59.7,43.99,91.92,3,Completed,Card,DR00858,4.4,1.0,No,07:21,Rainy,Web,No,NA
RIDE100008,2023-11-04 05:37:00,USER2113,Mumbai,SUV,15.43,69.9,115.15,203.99,1,Completed,UPI,DR00919,7.0,1.2,No,05:37,Clear,iOS,No,NA
RIDE100009,2023-01-24 03:26:00,USER3586,Mumbai,Bike,17.99,69.6,57.64,109.49,3,Completed,Wallet,DR00297,3.4,1.0,No,03:26,Cloudy,Android,Yes,NA
RIDE100010,2023-01-22 16:44:00,USER5719,Delhi,Sedan,1.49,80.3,79.74,85.68,5,Completed,Wallet,DR00263,4.6,1.5,No,16:44,Foggy,Web,No,NA
RIDE100011,2023-03-10 05:26:00,USER2225,Bangalore,SUV,24.28,67.0,33.94,75.14,3,Completed,Card,DR00564,9.0,1.2,Yes,05:26,Rainy,Web,Yes,NA
RIDE100012,2023-06-09 04:58:00,USER9755,Mumbai,SUV,20.98,83.9,46.31,94.89,3,Cancelled,Wallet,DR00218,9.5,1.2,Yes,04:58,Rainy,Android,No,Driver
RIDE100013,2023-06-19 10:02:00,USER4955,Bangalore,Bike,6.1,33.3,68.37,89.22,2,Completed,UPI,DR00567,7.3,1.5,No,10:02,Foggy,Android,No,NA
RIDE100014,2023-01-20 07:44:00,USER9482,Hyderabad,Sedan,5.36,47.8,71.04,90.08,4,Completed,Cash,DR00017,4.1,1.0,No,07:44,Clear,Android,No,NA
RIDE100015,2023-05-25 18:56:00,USER9192,Delhi,SUV,5.4,6.2,137.95,175.2,2,Cancelled,Card,DR00856,8.3,1.0,Yes,18:56,Rainy,Web,Yes,User
RIDE100016,2023-11-02 11:38:00,USER6115,Delhi,SUV,8.3,5.6,119.02,168.41,1,Completed,UPI,DR00660,0.7,1.0,Yes,11:38,Clear,Android,No,NA
RIDE100017,2023-06-10 12:28:00,USER7540,Bangalore,Auto,13.59,25.4,146.66,246.32,3,Completed,Cash,DR00512,1.5,1.0,No,12:28,Clear,iOS,No,NA
RIDE100018,2023-11-24 02:29:00,USER1928,Chennai,Sedan,11.37,13.6,101.89,159.81,2,Completed,Wallet,DR00256,6.8,1.0,No,02:29,Clear,Android,No,NA
RIDE100019,2023-07-22 13:44:00,USER9944,Bangalore,Bike,7.99,27.1,59.01,82.58,4,Cancelled,Wallet,DR00439,3.3,1.5,Yes,13:44,Clear,Web,Yes,System
RIDE100020,2023-01-05 17:34:00,USER2816,Hyderabad,Sedan,15.68,20.0,69.32,123.67,4,Completed,Wallet,DR00850,9.5,1.0,Yes,17:34,Foggy,Web,Yes,NA
RIDE100021,2023-04-27 06:14:00,USER8716,Hyderabad,Sedan,4.35,7.4,68.38,83.25,2,Completed,Wallet,DR00172,4.6,2.0,No,06:14,Clear,Web,Yes,NA
RIDE100022,2023-11-04 17:43:00,USER5309,Mumbai,Sedan,8.01,82.3,69.18,96.89,1,Cancelled,Wallet,DR00811,4.6,1.2,Yes,17:43,Cloudy,Android,Yes,Driver
RIDE100023,2023-09-05 18:18:00,USER1491,Pune,Bike,9.79,5.7,110.76,164.98,5,Completed,UPI,DR00137,6.9,1.2,Yes,18:18,Cloudy,Android,Yes,NA
RIDE100024,2023-07-22 08:09:00,USER1528,Pune,Auto,11.95,67.6,93.7,149.69,3,Completed,Card,DR00990,7.8,1.0,Yes,08:09,Foggy,iOS,Yes,NA
RIDE100025,2023-04-24 05:12:00,USER6538,Delhi,SUV,19.84,17.9,76.25,151.89,3,Completed,Card,DR00902,5.0,1.2,Yes,05:12,Cloudy,Android,Yes,NA
RIDE100026,2023-06-06 18:52:00,USER7904,Bangalore,Sedan,5.79,82.5,47.89,61.75,5,Cancelled,Card,DR00551,2.5,1.0,No,18:52,Clear,iOS,No,User
RIDE100027,2023-09-03 02:24:00,USER5274,Mumbai,Sedan,13.34,80.9,32.66,54.44,4,Completed,Cash,DR00580,7.8,1.0,No,02:24,Cloudy,Android,Yes,NA
RIDE100028,2023-03-16 10:15:00,USER4285,Mumbai,SUV,15.22,60.6,56.26,99.07,4,Completed,Cash,DR00047,3.5,1.5,Yes,10:15,Clear,iOS,No,NA
RIDE100029,2023-03-09 12:51:00,USER6481,Bangalore,Bike,2.11,62.1,42.9,47.43,1,Completed,Cash,DR00886,2.2,1.0,Yes,12:51,Clear,Web,No,NA
RIDE100030,2023-10-04 15:42:00,USER1973,Bangalore,Bike,15.58,5.5,124.25,221.04,4,Completed,UPI,DR00105,6.5,1.0,No,15:42,Clear,Web,No,NA
RIDE100031,2023-03-12 10:14:00,USER3282,Bangalore,SUV,5.09,88.7,43.5,54.57,1,Completed,Card,DR00291,1.4,1.5,Yes,10:14,Foggy,iOS,No,NA
RIDE100032,2023-09-19 09:37:00,USER4346,Hyderabad,Bike,2.56,79.6,116.91,131.87,4,Cancelled,UPI,DR00332,9.7,1.0,No,09:37,Foggy,Web,No,Driver
RIDE100033,2023-09-08 11:03:00,USER9963,Hyderabad,Auto,23.77,81.1,76.28,166.94,5,Completed,UPI,DR00310,6.5,1.2,No,11:03,Rainy,Android,Yes,NA
RIDE100034,2023-07-12 14:50:00,USER6400,Pune,SUV,24.18,61.0,38.81,85.73,3,Completed,Cash,DR00490,9.9,1.2,Yes,14:50,Foggy,Web,Yes,NA
RIDE100035,2023-02-01 15:21:00,USER2021,Hyderabad,Bike,20.4,34.3,127.53,257.61,3,Completed,Cash,DR00260,3.7,1.0,Yes,15:21,Clear,Web,Yes,NA
RIDE100036,2023-12-01 13:01:00,USER4860,Chennai,Bike,8.31,81.0,99.56,140.93,5,Completed,Cash,DR00717,9.7,1.5,No,13:01,Cloudy,Web,Yes,NA
RIDE100037,2023-04-01 21:29:00,USER9086,Hyderabad,Bike,3.34,29.8,58.29,68.02,1,Completed,Card,DR00209,1.9,1.5,Yes,21:29,Cloudy,Web,Yes,NA
RIDE100038,2023-10-03 15:22:00,USER2194,Mumbai,SUV,17.42,52.8,137.36,257.0,3,Completed,Wallet,DR00161,0.9,1.0,Yes,15:22,Rainy,iOS,No,NA
RIDE100039,2023-02-27 09:07:00,USER1579,Bangalore,Sedan,11.56,13.5,35.43,55.91,3,Completed,Card,DR00586,0.8,1.0,Yes,09:07,Clear,Web,No,NA
RIDE100040,2023-08-02 11:39:00,USER6666,Chennai,Bike,3.93,83.4,54.22,64.87,1,Completed,Cash,DR00550,4.9,1.2,Yes,11:39,Clear,Android,Yes,NA
RIDE100041,2023-09-21 08:01:00,USER2159,Delhi,Bike,12.88,17.0,120.25,197.69,1,Completed,Card,DR00653,1.3,1.2,No,08:01,Rainy,iOS,No,NA
RIDE100042,2023-05-21 00:29:00,USER7819,Delhi,Bike,1.83,24.1,115.13,125.66,1,Completed,Wallet,DR00429,5.4,1.2,No,00:29,Clear,Android,No,NA
RIDE100043,2023-02-20 15:33:00,USER2320,Mumbai,SUV,22.82,52.4,64.71,138.54,3,Completed,Wallet,DR00169,3.6,1.0,No,15:33,Clear,Android,No,NA
RIDE100044,2023-02-03 08:50:00,USER8844,Mumbai,Bike,7.21,69.9,37.44,50.94,1,Completed,Wallet,DR00914,3.7,1.0,Yes,08:50,Clear,Web,No,NA
RIDE100045,2023-06-15 22:48:00,USER3121,Delhi,SUV,16.9,57.6,132.97,245.33,4,Completed,Wallet,DR00071,6.5,1.5,Yes,22:48,Clear,Android,No,NA
RIDE100046,2023-07-30 17:25:00,USER5432,Chennai,SUV,8.48,24.7,67.64,96.32,3,Completed,UPI,DR00167,2.0,1.0,No,17:25,Clear,Web,No,NA
RIDE100047,2023-02-28 02:27:00,USER1683,Hyderabad,Sedan,13.48,5.1,53.49,89.54,4,Completed,UPI,DR00649,7.8,1.2,No,02:27,Clear,Android,No,NA
RIDE100048,2023-06-19 12:18:00,USER2704,Bangalore,Bike,14.12,69.4,91.93,156.83,1,Cancelled,Cash,DR00022,6.0,1.5,Yes,12:18,Clear,Web,No,Driver
RIDE100049,2023-03-15 13:07:00,USER1583,Bangalore,SUV,5.44,88.7,139.23,177.1,2,Completed,Cash,DR00534,9.2,1.0,Yes,13:07,Rainy,iOS,No,NA
RIDE100050,2023-10-04 19:11:00,USER9136,Chennai,SUV,24.27,73.8,35.23,77.98,2,Cancelled,Cash,DR00753,4.0,1.2,No,19:11,Rainy,Web,Yes,User
RIDE100051,2023-07-22 09:56:00,USER9316,Pune,Auto,19.6,44.1,121.9,241.36,1,Completed,Wallet,DR00250,9.8,1.0,Yes,09:56,Clear,Android,Yes,NA
RIDE100052,2023-11-27 03:55:00,USER4690,Hyderabad,Sedan,23.55,81.8,98.7,214.92,1,Completed,Card,DR00006,6.0,2.0,Yes,03:55,Clear,iOS,No,NA
RIDE100053,2023-09-23 15:54:00,USER6738,Chennai,Sedan,22.48,39.8,81.05,172.15,4,Completed,UPI,DR00224,9.7,1.0,Yes,15:54,Clear,Web,No,NA
RIDE100054,2023-04-29 10:35:00,USER8069,Mumbai,Bike,15.35,49.6,119.29,210.85,3,Completed,UPI,DR00920,0.8,1.0,Yes,10:35,Rainy,iOS,No,NA
RIDE100055,2023-09-27 13:22:00,USER8824,Bangalore,SUV,23.12,45.6,145.9,314.56,1,Cancelled,Card,DR00474,7.4,1.2,No,13:22,Clear,iOS,No,Driver
RIDE100056,2023-09-16 16:48:00,USER5971,Hyderabad,Auto,3.12,43.0,57.5,66.47,4,Completed,UPI,DR00023,8.3,1.2,Yes,16:48,Rainy,Android,Yes,NA
RIDE100057,2023-06-02 13:24:00,USER4731,Delhi,Bike,5.7,70.9,47.24,60.7,5,Completed,Cash,DR00912,1.0,1.0,No,13:24,Rainy,Web,Yes,NA
RIDE100058,2023-07-14 09:46:00,USER1351,Delhi,Sedan,2.09,49.8,139.55,154.13,4,Completed,Card,DR00961,6.0,1.0,No,09:46,Clear,Web,No,NA
RIDE100059,2023-02-21 23:50:00,USER1906,Mumbai,Auto,8.81,31.9,110.27,158.84,2,Completed,Wallet,DR00046,8.1,1.0,No,23:50,Foggy,iOS,No,NA
RIDE100060,2023-05-05 14:51:00,USER1431,Chennai,SUV,10.33,26.9,82.56,125.2,5,Completed,Wallet,DR00848,5.8,1.0,No,14:51,Foggy,iOS,No,NA
RIDE100061,2023-06-28 06:22:00,USER4214,Pune,SUV,7.51,8.2,98.79,135.89,4,Completed,Card,DR00642,1.1,1.2,Yes,06:22,Clear,Web,Yes,NA
RIDE100062,2023-04-29 23:39:00,USER9752,Bangalore,SUV,20.89,54.6,119.47,244.26,5,Completed,Cash,DR00659,7.1,1.0,Yes,23:39,Rainy,iOS,No,NA
RIDE100063,2023-12-03 14:34:00,USER7215,Chennai,Auto,9.56,24.5,122.76,181.44,2,Completed,UPI,DR00327,1.1,1.2,No,14:34,Clear,Android,No,NA
RIDE100064,2023-10-04 07:27:00,USER1296,Hyderabad,Sedan,7.74,17.6,140.39,194.72,2,Completed,UPI,DR00408,8.3,1.5,Yes,07:27,Clear,Web,No,NA
RIDE100065,2023-07-16 13:40:00,USER8899,Hyderabad,Auto,14.02,60.6,81.22,138.16,5,Cancelled,Wallet,DR00718,0.9,1.5,No,13:40,Clear,Android,No,Driver
RIDE100066,2023-06-09 22:03:00,USER1854,Chennai,SUV,4.38,62.9,65.21,79.49,5,Completed,Card,DR00749,1.8,1.2,No,22:03,Rainy,Web,No,NA
RIDE100067,2023-08-25 03:15:00,USER7342,Pune,SUV,20.25,68.9,106.76,214.85,3,Completed,Wallet,DR00719,3.1,1.0,Yes,03:15,Clear,Web,No,NA
RIDE100068,2023-02-10 17:35:00,USER7180,Delhi,Auto,2.79,47.8,79.89,91.03,3,Completed,Cash,DR00877,6.5,1.0,No,17:35,Cloudy,Web,No,NA
